source,target,weight,timestamp
2042,3283,11,2024-05-02 00:05:12.628821
862,3155,14,2024-05-02 20:54:17.781861
2468,2476,7,2024-05-02 08:08:27.520409
1371,3654,23,2024-05-02 13:24:42.948705
1049,2960,9,2024-05-02 06:56:32.815424
838,1274,24,2024-05-02 02:33:43.530102
1198,3767,13,2024-05-02 04:48:13.220037
1528,3575,20,2024-05-02 21:43:40.323395
379,3051,2,2024-05-02 17:44:10.636918
392,548,24,2024-05-02 22:11:30.394244
2871,3673,9,2024-05-02 12:02:59.349076
666,1005,10,2024-05-02 22:34:20.212981
1450,3294,20,2024-05-02 21:20:19.479651
547,1561,4,2024-05-02 08:59:31.698842
2024,2390,5,2024-05-02 19:00:11.190464
1334,2934,4,2024-05-02 20:53:57.589222
1939,3404,9,2024-05-02 00:35:52.699622
2966,3009,22,2024-05-02 05:26:20.997517
25,2630,8,2024-05-02 15:52:53.157137
2246,3940,15,2024-05-02 01:45:43.455026
1602,3675,2,2024-05-02 22:16:11.690239
1212,3586,20,2024-05-02 04:28:04.705738
1957,3116,4,2024-05-02 05:01:53.152219
1845,2944,13,2024-05-02 09:42:20.925329
1481,2648,23,2024-05-02 18:38:07.397557
460,3347,20,2024-05-02 17:39:38.976015
1126,3255,2,2024-05-02 07:35:20.330596
856,1300,11,2024-05-02 20:36:18.938804
1020,1070,19,2024-05-02 21:45:58.142978
811,2570,7,2024-05-02 05:40:00.769690
191,2142,8,2024-05-02 03:10:57.677830
166,2230,15,2024-05-02 08:14:18.433846
478,681,13,2024-05-02 16:57:42.028160
3076,3221,8,2024-05-02 19:25:51.859159
456,1492,9,2024-05-02 23:01:04.196989
604,3645,7,2024-05-02 05:08:59.139486
511,2868,2,2024-05-02 07:23:45.105501
2833,3528,10,2024-05-02 03:06:29.284005
688,3943,22,2024-05-02 06:46:26.428191
2649,3494,20,2024-05-02 16:36:07.403079
3038,3969,12,2024-05-02 09:38:20.299356
1633,2510,20,2024-05-02 16:58:34.893904
1430,3678,8,2024-05-02 18:05:08.833063
2832,3632,11,2024-05-02 07:34:34.941192
371,3144,9,2024-05-02 21:52:11.934203
27,655,18,2024-05-02 07:07:02.679909
1842,3410,6,2024-05-02 07:12:10.318392
2017,3182,24,2024-05-02 04:23:42.610941
1276,3951,14,2024-05-02 17:15:58.666732
1958,3086,7,2024-05-02 02:17:32.295126
