source,target,weight
1,59,20
2,198,4
2,112,3
2,115,20
3,32,12
3,163,2
3,40,14
4,18,12
4,186,4
4,49,15
4,87,8
4,171,17
5,73,13
5,85,19
5,29,10
5,36,12
6,174,20
6,130,6
6,196,4
6,24,7
6,90,4
7,53,13
8,28,17
8,80,3
8,106,13
8,86,9
9,60,18
9,21,12
9,200,11
9,78,10
10,90,6
10,175,14
10,114,3
11,59,6
12,105,2
12,159,10
12,36,10
13,108,1
13,56,10
14,89,17
14,171,19
14,33,15
14,164,20
15,17,8
15,181,1
15,68,17
15,128,12
16,136,6
16,127,13
16,122,5
17,69,15
17,160,15
17,79,5
17,59,2
17,46,9
18,59,18
18,5,13
18,72,9
18,197,5
18,171,18
19,67,5
19,154,11
19,75,17
19,68,19
20,169,14
20,60,1
20,11,6
20,166,14
20,59,14
21,109,14
21,41,14
22,117,8
22,76,19
22,77,19
22,64,11
22,170,17
23,39,16
23,125,12
24,149,16
24,62,10
26,153,18
26,41,7
26,189,20
26,44,18
26,46,14
27,132,12
27,169,3
27,15,5
28,174,19
28,118,3
28,10,8
29,167,9
29,121,7
29,178,4
29,144,3
29,113,18
30,65,7
30,175,11
30,38,7
31,162,18
32,33,15
32,187,5
33,3,20
33,115,3
33,89,7
33,28,9
34,124,7
34,10,4
35,193,9
35,100,3
35,67,13
36,151,12
36,56,16
36,107,11
37,112,10
37,33,4
37,87,20
38,17,7
38,195,14
38,94,19
39,161,19
39,139,12
39,198,8
40,145,6
41,54,11
41,1,4
41,106,19
42,85,1
42,164,16
42,83,8
43,11,7
43,160,10
44,10,13
44,3,15
44,18,20
45,139,15
46,13,18
46,39,3
46,120,15
46,54,17
46,83,13
47,132,13
47,109,11
48,32,13
48,1,19
48,41,9
49,15,15
50,114,10
50,143,13
50,103,9
50,75,9
50,51,15
51,34,12
52,197,7
52,145,16
52,11,11
52,119,20
53,184,15
54,17,13
54,21,18
55,185,14
55,73,17
55,7,19
55,9,17
55,166,12
56,52,14
56,72,2
56,27,3
56,120,15
57,177,16
57,17,10
57,136,3
57,186,20
57,110,17
58,193,10
58,49,17
58,139,11
58,174,18
58,54,4
59,38,14
59,112,7
59,103,1
60,192,14
60,199,20
61,116,2
61,30,18
61,198,4
61,157,1
61,179,19
62,13,4
62,121,17
62,116,9
62,182,20
62,155,16
63,36,6
63,68,4
63,45,5
63,152,3
63,19,16
64,176,11
64,72,7
65,171,1
65,84,10
65,14,5
66,15,20
66,109,8
66,135,7
67,80,6
67,152,2
68,96,19
68,54,4
68,51,12
68,167,14
69,41,18
69,163,12
69,185,17
70,117,12
71,91,9
72,4,1
72,148,1
73,59,7
73,117,16
73,5,16
74,172,11
74,26,14
75,65,3
75,31,5
75,151,8
75,98,6
75,63,14
76,163,7
76,126,13
76,53,8
76,90,8
76,61,17
77,23,4
77,119,7
77,124,8
78,51,2
78,23,19
79,132,13
79,112,10
79,172,3
79,170,6
79,85,13
80,69,15
80,79,7
80,92,17
80,179,1
80,171,6
81,97,8
81,120,16
81,39,12
81,187,3
82,138,13
82,87,17
82,14,11
82,66,20
82,124,14
83,193,2
83,105,18
83,70,20
84,177,10
84,52,19
85,152,8
86,32,11
86,187,17
86,30,13
87,99,1
88,116,8
89,125,10
89,45,8
89,108,9
90,5,16
90,98,10
90,80,8
91,110,10
91,71,16
92,95,1
92,176,18
92,198,6
92,14,14
93,56,9
94,118,4
94,50,19
94,57,5
94,22,8
94,113,12
95,30,2
95,137,19
95,50,17
95,125,1
96,90,7
96,47,10
97,84,20
97,72,7
