node_id,categoría
1,milei
2,milei
3,milei
4,milei
5,milei
6,milei
7,milei
8,milei
9,milei
10,milei
11,milei
12,milei
13,milei
14,milei
15,milei
16,milei
17,milei
18,milei
19,milei
20,milei
21,milei
22,milei
23,milei
24,milei
25,milei
26,milei
27,milei
28,milei
29,milei
30,milei
31,milei
32,milei
33,milei
34,milei
35,milei
36,milei
37,milei
38,milei
39,milei
40,milei
41,milei
42,milei
43,milei
44,milei
45,milei
46,milei
47,milei
48,milei
49,milei
50,milei
51,milei
52,milei
53,milei
54,milei
55,milei
56,milei
57,milei
58,milei
59,milei
60,milei
61,milei
62,milei
63,milei
64,milei
65,milei
66,milei
67,milei
68,milei
69,milei
70,milei
71,milei
72,milei
73,milei
74,milei
75,milei
76,milei
77,milei
78,milei
79,milei
80,milei
81,milei
82,milei
83,milei
84,milei
85,milei
86,milei
87,milei
88,milei
89,milei
90,milei
91,milei
92,milei
93,milei
94,milei
95,milei
96,milei
97,milei
98,milei
99,milei
100,milei
101,milei
102,milei
103,milei
104,milei
105,milei
106,milei
107,milei
108,milei
109,milei
110,milei
111,milei
112,milei
113,milei
114,milei
115,milei
116,milei
117,milei
118,milei
119,milei
120,milei
121,milei
122,milei
123,milei
124,milei
125,milei
126,milei
127,milei
128,milei
129,milei
130,milei
131,milei
132,milei
133,milei
134,milei
135,milei
136,milei
137,milei
138,milei
139,milei
140,milei
141,milei
142,milei
143,milei
144,milei
145,milei
146,milei
147,milei
148,milei
149,milei
150,milei
151,milei
152,milei
153,milei
154,milei
155,milei
156,milei
157,milei
158,milei
159,milei
160,milei
161,milei
162,milei
163,milei
164,milei
165,milei
166,milei
167,milei
168,milei
169,milei
170,milei
171,milei
172,milei
173,milei
174,milei
175,milei
176,milei
177,milei
178,milei
179,milei
180,milei
181,milei
182,milei
183,milei
184,milei
185,milei
186,milei
187,milei
188,milei
189,milei
190,milei
191,milei
192,milei
193,milei
194,milei
195,milei
196,milei
197,milei
198,milei
199,milei
200,milei
201,milei
202,milei
203,milei
204,milei
205,milei
206,milei
207,milei
208,milei
209,milei
210,milei
211,milei
212,milei
213,milei
214,milei
215,milei
216,milei
217,milei
218,milei
219,milei
220,milei
221,milei
222,milei
223,milei
224,milei
225,milei
226,milei
227,milei
228,milei
229,milei
230,milei
231,milei
232,milei
233,milei
234,milei
235,milei
236,milei
237,milei
238,milei
239,milei
240,milei
241,milei
242,milei
243,milei
244,milei
245,milei
246,milei
247,milei
248,milei
249,milei
250,milei
251,milei
252,milei
253,milei
254,milei
255,milei
256,milei
257,milei
258,milei
259,milei
260,milei
261,milei
262,milei
263,milei
264,milei
265,milei
266,milei
267,milei
268,milei
269,milei
270,milei
271,milei
272,milei
273,milei
274,milei
275,milei
276,milei
277,milei
278,milei
279,milei
280,milei
281,milei
282,milei
283,milei
284,milei
285,milei
286,milei
287,milei
288,milei
289,milei
290,milei
291,milei
292,milei
293,milei
294,milei
295,milei
296,milei
