node_id,categoría
1,dulce
2,salado
3,dulce
4,salado
5,dulce
6,salado
7,dulce
8,salado
9,dulce
10,dulce
11,salado
12,dulce
13,salado
14,salado
15,dulce
16,salado
17,salado
18,dulce
19,dulce
20,dulce
21,dulce
22,salado
23,salado
24,dulce
25,dulce
26,dulce
27,dulce
28,dulce
29,salado
30,salado
31,salado
32,salado
33,salado
34,salado
35,dulce
36,salado
37,dulce
38,dulce
39,dulce
40,dulce
41,dulce
42,salado
43,dulce
44,salado
45,dulce
46,salado
47,salado
48,dulce
49,dulce
50,salado
51,dulce
52,dulce
53,dulce
54,salado
55,salado
56,dulce
57,salado
58,salado
59,salado
60,dulce
61,salado
62,salado
63,salado
64,dulce
65,dulce
66,salado
67,salado
68,salado
69,salado
70,dulce
71,salado
72,salado
73,dulce
74,dulce
75,dulce
76,dulce
77,salado
78,salado
79,salado
80,salado
81,dulce
82,salado
83,dulce
84,salado
85,salado
86,dulce
87,salado
88,dulce
89,dulce
90,salado
91,salado
92,dulce
93,dulce
94,salado
95,dulce
96,dulce
97,dulce
98,dulce
99,salado
100,dulce
101,salado
102,dulce
103,dulce
104,salado
105,dulce
106,salado
107,dulce
108,salado
109,dulce
110,salado
111,dulce
112,salado
113,dulce
114,dulce
115,salado
116,salado
117,salado
118,dulce
119,salado
120,salado
121,salado
122,dulce
123,salado
124,salado
125,dulce
126,salado
127,dulce
128,salado
129,salado
130,dulce
131,dulce
132,dulce
133,dulce
134,salado
135,salado
136,salado
137,dulce
138,salado
139,salado
140,dulce
141,dulce
142,salado
143,dulce
144,dulce
145,dulce
146,salado
147,dulce
148,salado
149,dulce
150,dulce
151,dulce
152,dulce
153,salado
154,dulce
155,dulce
156,salado
157,dulce
158,dulce
159,salado
160,salado
161,salado
162,dulce
163,dulce
164,dulce
165,dulce
166,salado
167,salado
168,dulce
169,salado
170,dulce
171,salado
172,salado
173,dulce
174,salado
175,salado
176,dulce
177,salado
178,salado
179,salado
180,dulce
181,salado
182,dulce
183,dulce
184,dulce
185,dulce
186,salado
187,dulce
188,salado
189,salado
190,salado
191,dulce
192,dulce
193,salado
194,dulce
195,salado
196,salado
197,dulce
198,dulce
199,salado
200,dulce
