;supported_candidate_v1;supported_candidate_v2;v1;v2;v3
280767;yjadot;MLP_officiel;548;4292;1
488743;yjadot;MLP_officiel;1126;4268;1
488937;yjadot;MLP_officiel;1126;16176;1
2973695;yjadot;MLP_officiel;8058;1115;1
2974049;yjadot;MLP_officiel;8058;12176;1
2991079;yjadot;MLP_officiel;8093;4268;1
3008501;yjadot;MLP_officiel;8120;67678;1
3039460;yjadot;MLP_officiel;8194;7098;1
3052296;yjadot;MLP_officiel;8226;4268;1
3077484;yjadot;MLP_officiel;8266;10345;10
3105041;yjadot;MLP_officiel;8330;67678;1
3933510;MLP_officiel;yjadot;11581;39418;1
4362548;MLP_officiel;yjadot;13333;3262;2
5410997;MLP_officiel;yjadot;18028;44225;1
5411115;MLP_officiel;yjadot;18028;3262;1
6053537;yjadot;MLP_officiel;20556;38904;1
6105718;yjadot;MLP_officiel;20630;51785;1
8364065;yjadot;MLP_officiel;29034;47884;1
8364729;yjadot;MLP_officiel;29034;1797;1
9036462;yjadot;MLP_officiel;31884;10937;1
9196904;yjadot;MLP_officiel;32566;10345;18
9196943;yjadot;MLP_officiel;32566;3629;4
10258527;yjadot;MLP_officiel;37564;4268;1
10258862;yjadot;MLP_officiel;37564;1115;2
10258988;yjadot;MLP_officiel;37564;31310;1
10259048;yjadot;MLP_officiel;37564;11291;1
10530388;MLP_officiel;yjadot;38904;32566;4
10698824;yjadot;MLP_officiel;39418;11581;1
10801431;yjadot;MLP_officiel;39847;7098;1
10834723;MLP_officiel;yjadot;40004;4435;1
10855324;MLP_officiel;yjadot;40143;8638;1
11650318;MLP_officiel;yjadot;44040;5757;1
11651831;MLP_officiel;yjadot;44040;8638;1
11667003;yjadot;MLP_officiel;44126;10345;1
11708140;yjadot;MLP_officiel;44238;16634;1
11712649;yjadot;MLP_officiel;44266;4268;1
11723843;yjadot;MLP_officiel;44280;4268;1
12336234;yjadot;MLP_officiel;47747;1797;1
13578358;yjadot;MLP_officiel;54163;7098;1
13582043;yjadot;MLP_officiel;54177;16176;3
14470788;yjadot;MLP_officiel;59428;4268;1
14471065;yjadot;MLP_officiel;59428;10345;1
14554111;yjadot;MLP_officiel;59792;4268;3
14785045;MLP_officiel;yjadot;60988;3262;5
14785364;MLP_officiel;yjadot;60988;3277;1
14785557;MLP_officiel;yjadot;60988;8638;1
14786028;MLP_officiel;yjadot;60988;4435;2
14892764;yjadot;MLP_officiel;61584;84198;1
15937322;MLP_officiel;yjadot;67880;8638;1
16482584;yjadot;MLP_officiel;71350;4268;1
16483216;yjadot;MLP_officiel;71350;10174;1
